DATA	CODE	OTHER_CODE
D.x.0	1011	FLIP
D.x.1	1001
D.x.2	0101
D.x.3	1100	FLIP
D.x.4	1101	FLIP
D.x.5	1010
D.x.6	0110
D.x.P7	1110	FLIP
D.x.A7	0111	FLIP
K.x.0	1011	FLIP
K.x.1	0110	FLIP
K.x.2	1010	FLIP
K.x.3	1100	FLIP
K.x.4	1101	FLIP
K.x.5	0101	FLIP
K.x.6	1001	FLIP
K.x.7	0111	FLIP
D.0.y	100111	FLIP
D.1.y	011101	FLIP
D.2.y	101101	FLIP
D.3.y	110001
D.4.y	110101	FLIP
D.5.y	101001
D.6.y	011001
D.7.y	111000	FLIP
D.8.y	111001	FLIP
D.9.y	100101
D.10.y	010101
D.11.y	110100
D.12.y	001101
D.13.y	101100
D.14.y	011100
D.15.y	010111	FLIP
D.16.y	011011	FLIP
D.17.y	100011
D.18.y	010011
D.19.y	110010
D.20.y	001011
D.21.y	101010
D.22.y	011010
D.23.y	111010	FLIP
D.24.y	110011	FLIP
D.25.y	100110
D.26.y	010110
D.27.y	110110	FLIP
D.28.y	001110
D.29.y	101110	FLIP
D.30.y	011110	FLIP
D.31.y	101011	FLIP
K.28.y	001111	FLIP
